tex;std;ascii;txt
\`{a};{\`a};a;à
\`{A};{\`A};A;À
\'{a};{\'a};a;á
\'{A};{\'A};A;Á
\^{a};{\^a};a;â
\^{A};{\^A};A;Â
\"{a};{\"a};a;ä
\"{A};{\"A};A;Ä
\H{a};{\Ha};a;a̋
\H{A};{\HA};A;A̋
\~{a};{\~a};a;ã
\~{A};{\~A};A;Ã
\c{a};{\ca};a;a̧
\c{A};{\cA};A;A̧
\k{a};{\ka};a;ą
\k{A};{\kA};A;Ą
\={a};{\=a};a;ā
\={A};{\=A};A;Ā
\b{a};{\ba};a;a̱
\b{A};{\bA};A;A̱
\.{a};{\.a};a;ȧ
\.{A};{\.A};A;Ȧ
\d{a};{\da};a;ạ
\d{A};{\dA};A;Ạ
\r{a};{\ra};a;å
\r{A};{\rA};A;Å
\u{a};{\ua};a;ă
\u{A};{\uA};A;Ă
\v{a};{\va};a;ǎ
\v{A};{\vA};A;Ǎ
\t{aa};{\taa};a;aa
\t{AA};{\tAA};A;AA
\`{b};{\`b};b;b̀
\`{B};{\`B};B;B̀
\'{b};{\'b};b;b́
\'{B};{\'B};B;B́
\^{b};{\^b};b;b̂
\^{B};{\^B};B;B̂
\"{b};{\"b};b;b̈
\"{B};{\"B};B;B̈
\H{b};{\Hb};b;b̋
\H{B};{\HB};B;B̋
\~{b};{\~b};b;b̃
\~{B};{\~B};B;B̃
\c{b};{\cb};b;b̧
\c{B};{\cB};B;B̧
\k{b};{\kb};b;b̨
\k{B};{\kB};B;B̨
\={b};{\=b};b;b̄
\={B};{\=B};B;B̄
\b{b};{\bb};b;ḇ
\b{B};{\bB};B;Ḇ
\.{b};{\.b};b;ḃ
\.{B};{\.B};B;Ḃ
\d{b};{\db};b;ḅ
\d{B};{\dB};B;Ḅ
\r{b};{\rb};b;b̊
\r{B};{\rB};B;B̊
\u{b};{\ub};b;b̆
\u{B};{\uB};B;B̆
\v{b};{\vb};b;b̌
\v{B};{\vB};B;B̌
\t{bb};{\tbb};b;bb
\t{BB};{\tBB};B;BB
\`{c};{\`c};c;c̀
\`{C};{\`C};C;C̀
\'{c};{\'c};c;ć
\'{C};{\'C};C;Ć
\^{c};{\^c};c;ĉ
\^{C};{\^C};C;Ĉ
\"{c};{\"c};c;c̈
\"{C};{\"C};C;C̈
\H{c};{\Hc};c;c̋
\H{C};{\HC};C;C̋
\~{c};{\~c};c;c̃
\~{C};{\~C};C;C̃
\c{c};{\cc};c;ç
\c{C};{\cC};C;Ç
\k{c};{\kc};c;c̨
\k{C};{\kC};C;C̨
\={c};{\=c};c;c̄
\={C};{\=C};C;C̄
\b{c};{\bc};c;c̱
\b{C};{\bC};C;C̱
\.{c};{\.c};c;ċ
\.{C};{\.C};C;Ċ
\d{c};{\dc};c;c̣
\d{C};{\dC};C;C̣
\r{c};{\rc};c;c̊
\r{C};{\rC};C;C̊
\u{c};{\uc};c;c̆
\u{C};{\uC};C;C̆
\v{c};{\vc};c;č
\v{C};{\vC};C;Č
\t{cc};{\tcc};c;cc
\t{CC};{\tCC};C;CC
\`{d};{\`d};d;d̀
\`{D};{\`D};D;D̀
\'{d};{\'d};d;d́
\'{D};{\'D};D;D́
\^{d};{\^d};d;d̂
\^{D};{\^D};D;D̂
\"{d};{\"d};d;d̈
\"{D};{\"D};D;D̈
\H{d};{\Hd};d;d̋
\H{D};{\HD};D;D̋
\~{d};{\~d};d;d̃
\~{D};{\~D};D;D̃
\c{d};{\cd};d;ḑ
\c{D};{\cD};D;Ḑ
\k{d};{\kd};d;d̨
\k{D};{\kD};D;D̨
\={d};{\=d};d;d̄
\={D};{\=D};D;D̄
\b{d};{\bd};d;ḏ
\b{D};{\bD};D;Ḏ
\.{d};{\.d};d;ḋ
\.{D};{\.D};D;Ḋ
\d{d};{\dd};d;ḍ
\d{D};{\dD};D;Ḍ
\r{d};{\rd};d;d̊
\r{D};{\rD};D;D̊
\u{d};{\ud};d;d̆
\u{D};{\uD};D;D̆
\v{d};{\vd};d;ď
\v{D};{\vD};D;Ď
\t{dd};{\tdd};d;dd
\t{DD};{\tDD};D;DD
\`{e};{\`e};e;è
\`{E};{\`E};E;È
\'{e};{\'e};e;é
\'{E};{\'E};E;É
\^{e};{\^e};e;ê
\^{E};{\^E};E;Ê
\"{e};{\"e};e;ë
\"{E};{\"E};E;Ë
\H{e};{\He};e;e̋
\H{E};{\HE};E;E̋
\~{e};{\~e};e;ẽ
\~{E};{\~E};E;Ẽ
\c{e};{\ce};e;ȩ
\c{E};{\cE};E;Ȩ
\k{e};{\ke};e;ę
\k{E};{\kE};E;Ę
\={e};{\=e};e;ē
\={E};{\=E};E;Ē
\b{e};{\be};e;e̱
\b{E};{\bE};E;E̱
\.{e};{\.e};e;ė
\.{E};{\.E};E;Ė
\d{e};{\de};e;ẹ
\d{E};{\dE};E;Ẹ
\r{e};{\re};e;e̊
\r{E};{\rE};E;E̊
\u{e};{\ue};e;ĕ
\u{E};{\uE};E;Ĕ
\v{e};{\ve};e;ě
\v{E};{\vE};E;Ě
\t{ee};{\tee};e;ee
\t{EE};{\tEE};E;EE
\`{f};{\`f};f;f̀
\`{F};{\`F};F;F̀
\'{f};{\'f};f;f́
\'{F};{\'F};F;F́
\^{f};{\^f};f;f̂
\^{F};{\^F};F;F̂
\"{f};{\"f};f;f̈
\"{F};{\"F};F;F̈
\H{f};{\Hf};f;f̋
\H{F};{\HF};F;F̋
\~{f};{\~f};f;f̃
\~{F};{\~F};F;F̃
\c{f};{\cf};f;f̧
\c{F};{\cF};F;F̧
\k{f};{\kf};f;f̨
\k{F};{\kF};F;F̨
\={f};{\=f};f;f̄
\={F};{\=F};F;F̄
\b{f};{\bf};f;f̱
\b{F};{\bF};F;F̱
\.{f};{\.f};f;ḟ
\.{F};{\.F};F;Ḟ
\d{f};{\df};f;f̣
\d{F};{\dF};F;F̣
\r{f};{\rf};f;f̊
\r{F};{\rF};F;F̊
\u{f};{\uf};f;f̆
\u{F};{\uF};F;F̆
\v{f};{\vf};f;f̌
\v{F};{\vF};F;F̌
\t{ff};{\tff};f;ff
\t{FF};{\tFF};F;FF
\`{g};{\`g};g;g̀
\`{G};{\`G};G;G̀
\'{g};{\'g};g;ǵ
\'{G};{\'G};G;Ǵ
\^{g};{\^g};g;ĝ
\^{G};{\^G};G;Ĝ
\"{g};{\"g};g;g̈
\"{G};{\"G};G;G̈
\H{g};{\Hg};g;g̋
\H{G};{\HG};G;G̋
\~{g};{\~g};g;g̃
\~{G};{\~G};G;G̃
\c{g};{\cg};g;ģ
\c{G};{\cG};G;Ģ
\k{g};{\kg};g;g̨
\k{G};{\kG};G;G̨
\={g};{\=g};g;ḡ
\={G};{\=G};G;Ḡ
\b{g};{\bg};g;g̱
\b{G};{\bG};G;G̱
\.{g};{\.g};g;ġ
\.{G};{\.G};G;Ġ
\d{g};{\dg};g;g̣
\d{G};{\dG};G;G̣
\r{g};{\rg};g;g̊
\r{G};{\rG};G;G̊
\u{g};{\ug};g;ğ
\u{G};{\uG};G;Ğ
\v{g};{\vg};g;ǧ
\v{G};{\vG};G;Ǧ
\t{gg};{\tgg};g;gg
\t{GG};{\tGG};G;GG
